 DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME
 2001/10/19  03:28:44.5  124.11  -4.31   18.8 358 77  176 1.9e+27  7.44 101901A        
 2001/10/21  00:29:21.5  179.82 -37.03   15.0  80 61  -12 1.1e+26  6.62 102101A        
 2001/10/31  09:10:20.0  150.33  -6.27   35.0 266 25   95 3.0e+26  6.91 103101C        
 2001/11/14  09:26:10.0   92.91  35.80   15.0  94 61  -12 5.9e+27  7.78 111401B        
 2001/12/12  14:02:35.0  124.67 -42.69   16.0 349 82    6 4.7e+26  7.05 121201C        
 2001/12/18  04:02:58.3  122.79  24.00   16.0 329 47 -135 2.1e+26  6.81 121801C        
 2001/12/23  22:52:54.3  159.50  -9.63   18.0 311 23   54 2.1e+26  6.81 122301F        
 2002/01/02  17:22:48.8  167.85 -17.78   40.0 299 18   22 7.7e+26  7.19 010202F        
 2002/01/03  10:17:36.3  167.82 -17.84   20.0 359 30   97 9.9e+25  6.59 010302H        
 2002/01/10  11:14:56.9  142.68  -3.21   18.0 105 33   33 1.4e+26  6.70 011002D        
 2002/02/05  13:27:24.7  151.39  -5.74   48.0 238 35   68 9.0e+25  6.57 020502B        
 2002/03/03  12:08:07.8   70.42  36.57  228.5 282 22   85 1.3e+27  7.33 030302C        
 2002/03/05  21:16:09.1  124.25   5.92   28.7 314 25   70 1.9e+27  7.46 030502H        
 2002/03/31  06:52:50.5  121.96  24.19   39.0 292 32  121 5.5e+26  7.09 033102A        
 2002/04/18  05:02:46.2 -101.22  16.79   15.0 291  9   89 1.5e+26  6.72 041802B        
 2002/04/18  16:08:36.8  -70.73 -27.44   53.0 253 56  168 8.6e+25  6.55 041802F        
 2002/04/26  16:06:07.0  144.67  13.15   69.1 172  3   11 4.3e+26  7.02 042602G        
 2002/06/13  01:27:19.5   99.65 -47.55   15.0  33 86  179 7.8e+25  6.52 061302A        
 2002/06/17  21:26:22.9  166.25 -12.49   44.0 163 38   81 1.4e+26  6.70 061702H        
 2002/06/28  17:19:30.3  130.45  43.74  581.5  27 13  105 1.1e+27  7.29 062802B        
 2002/08/14  13:57:52.1  146.43  13.98   38.0 325 28  168 7.1e+25  6.50 081402E        
 2002/08/19  11:01:01.2 -179.08 -21.74  630.9 149 22 -141 3.5e+27  7.62 081902A        
 2002/08/19  11:08:24.3  178.49 -24.16  699.3  50  3   83 4.3e+27  7.68 081902C        
 2002/09/08  18:44:23.7  143.38  -3.27   19.5 106 34   43 2.9e+27  7.58 090802H        
 2002/10/10  10:50:20.6  134.30  -1.79   15.0  60 83    4 2.6e+27  7.54 101002E        
 2002/10/12  20:09:11.5  -71.66  -8.30  539.4 353 40  -75 2.4e+26  6.85 101202H        
 2002/10/23  11:27:19.4 -148.13  63.58   15.8 262 89  179 1.1e+26  6.62 102302E        
 2002/11/02  01:26:10.7   95.99   2.65   23.0 297 16   73 9.0e+26  7.23 110202B        
 2002/11/03  22:12:41.0 -144.89  63.23   15.0 296 71  171 7.5e+27  7.85 110302J        
 2002/11/07  15:14:06.8  179.29  51.20   28.0 268 22  110 9.7e+25  6.59 110702B        
 2002/11/15  19:58:31.8  -35.51 -55.91   15.0 276 40   68 1.0e+26  6.61 111502B        
 2002/11/17  04:53:53.5  146.45  47.81  479.8 316  9   30 1.1e+27  7.28 111702C        
 2002/12/12  08:30:42.8  153.21  -4.81   45.0 325 43   42 1.0e+26  6.60 121202C        
 2003/01/10  13:11:56.9  153.61  -5.44   41.0 130 44   78 8.7e+25  6.56 011003C        
 2003/01/20  08:43:06.1  160.63 -10.43   31.0 178 57  140 9.3e+26  7.24 012003B        
 2003/01/22  02:06:34.6 -103.90  18.86   26.0 308 12  110 2.0e+27  7.47 012203A        
 2003/02/19  03:32:36.4 -164.53  53.41   28.0 248 20   96 1.0e+26  6.60 021903C        
 2003/03/11  07:27:32.7  153.08  -4.52   37.0 324 60   21 1.9e+26  6.78 031103A        
 2003/03/17  16:36:17.3  177.58  51.33   27.0 289 22  137 4.2e+26  7.01 031703E        
 2003/05/04  13:15:18.7 -177.73 -30.65   41.0 200 28   97 1.2e+26  6.65 050403A        
 2003/05/14  06:03:35.9  -58.72  18.29   40.0 115 67  155 9.9e+25  6.59 051403B        
 2003/05/21  18:44:20.1    3.58  36.93   15.0  57 44   71 2.0e+26  6.80 052103H        
 2003/05/26  09:24:33.4  141.57  38.94   61.0 352 19   70 3.9e+26  6.99 052603A        
 2003/05/26  19:23:27.9  128.88   2.61   34.0 326 36   60 3.1e+26  6.92 052603D        
 2003/05/26  23:13:29.7  123.85   6.90  579.7 227 24  -18 2.3e+26  6.83 052603E        
 2003/06/07  00:32:45.6  152.64  -5.33   30.0 256 19   96 8.4e+25  6.55 060703A        
 2003/06/16  22:08:02.1  160.25  55.48  180.9 123 32 -161 2.4e+26  6.85 061603C        
 2003/06/20  06:19:38.9  -71.89  -7.37  556.2 353 47  -65 4.4e+26  7.03 062003D        
 2003/06/20  13:30:41.6  -71.97 -30.88   35.0   1 27   93 1.8e+26  6.76 062003G        
 2003/06/23  12:12:34.5  176.60  51.55   28.8 298 25  142 2.6e+26  6.87 062303A        
 2003/07/15  20:27:50.5   69.47  -1.42   15.0 307 69    1 2.5e+27  7.53 071503F        
 2003/07/27  02:04:11.5 -176.12 -21.09  215.6 294 22   -3 9.1e+25  6.57 072703A        
 2003/07/27  06:25:32.0  139.23  46.99  477.2  61 44  158 1.5e+26  6.71 072703C        
 2003/08/04  04:37:20.1  -43.21 -60.80   15.0 101 36  -23 2.7e+27  7.55 080403C        
 2003/08/21  12:12:49.8  166.87 -45.01   31.8  35 23   95 7.5e+26  7.18 082103D        
 2003/09/21  18:16:13.4   95.72  19.86   15.8   8 71  172 8.5e+25  6.55 092103B        
 2003/09/25  19:50:06.4  143.84  42.21   28.2 250 11  132 3.1e+28  8.25 092503C        
 2003/09/25  21:08:00.0  143.62  41.75   47.3 208 18   86 1.3e+27  7.34 092503K        
 2003/09/27  11:33:25.1   87.86  50.02   15.0 228 70   20 9.4e+26  7.24 092703F        
 2003/10/01  01:03:25.2   87.59  50.24   15.0 221 67    5 1.1e+26  6.63 100103B        
 2003/10/08  09:06:55.3  144.82  42.48   36.0 248 19  124 1.2e+26  6.65 100803A        
 2003/10/31  01:06:28.3  142.68  37.89   15.0 196  9   80 3.5e+26  6.96 103103A        
 2003/11/06  10:38:04.3  168.82 -19.41  114.3 306 26   46 8.6e+25  6.55 110603C        
 2003/11/09  19:52:36.8  -19.26  -0.27   15.0  79 77  178 9.3e+25  6.58 110903F        
 2003/11/17  06:43:06.8  177.86  51.14   21.7 280 19  122 5.3e+27  7.75 111703B        
 2003/11/25  20:19:46.3  151.02  -5.92   43.0 250 30   82 7.9e+25  6.53 112503E        
 2003/12/05  21:26:09.5  165.53  55.68   18.0  95 54  147 1.1e+26  6.64 120503F        
 2003/12/10  04:38:11.6  121.43  22.94   25.0 221 44  113 2.0e+26  6.80 121003B        
 2003/12/21  07:40:45.8  -20.13  -0.39   15.0  81 83  180 7.8e+25  6.53 122103B        
 2003/12/22  19:15:56.0 -121.15  35.75   15.0 296 32   88 8.5e+25  6.55 122203C        
 2003/12/26  01:56:52.4   58.24  29.10   15.0 172 59  167 9.3e+25  6.58 122603B        
 2003/12/26  21:26:04.1  169.39 -22.33   15.0 131 41  -95 1.6e+26  6.74 122603I        
 2003/12/27  16:00:59.5  169.81 -21.99   23.0 324 29   95 9.5e+26  7.25 122703G        
 2003/12/27  22:38:01.9  169.75 -21.71   24.0 319 31   79 1.4e+26  6.70 122703K        
 2004/01/03  16:23:21.0  169.72 -22.41   15.0 314 39  -77 5.9e+26  7.11 010304J        
 2004/01/25  11:43:11.9 -173.79 -16.75  143.4 262 40  148 1.1e+26  6.64 012504B        
 2004/01/28  22:15:30.7  127.30  -3.11   16.8  98 46   -9 1.1e+26  6.62 012804H        
 2004/02/05  21:05:02.8  135.53  -3.62   13.0  44 43  -10 3.4e+26  6.95 020504B        
 2004/02/07  02:42:35.2  134.78  -4.03   12.0 261 68   -7 9.8e+26  7.26 020704A        
 2004/02/08  08:58:51.8  135.40  -3.72   12.0  43 55  -16 1.2e+26  6.65 020804C        
 2004/02/21  02:34:42.7  -14.90 -58.62   17.3 352 76 -179 9.5e+25  6.58 022104A        
 2004/04/23  01:50:30.2  123.01  -9.69   52.3 140 25  -24 1.1e+26  6.64 042304A        
 2004/05/03  04:36:50.0  -73.75 -37.95   24.0   0 16  118 1.0e+26  6.61 050304A        
 2004/06/10  15:19:57.8  160.32  55.79  190.1 173  9 -126 2.3e+26  6.84 061004H        
 2004/06/28  09:49:47.0 -134.46  55.02   12.0 333 51  179 1.9e+26  6.78 062804C        
 2004/07/15  04:27:14.7 -178.52 -17.68  577.2 345 44  137 4.8e+26  7.05 071504C        
 2004/07/25  14:35:19.1  104.38  -2.68  600.5 108 45 -129 1.0e+27  7.27 072504B        
 2004/08/28  13:41:27.9  -70.36 -35.21   16.0  21 61 -178 7.2e+25  6.50 082804C        
 2004/09/05  10:07:07.8  137.00  32.94   16.0 277 38  100 7.8e+26  7.19 090504A        
 2004/09/05  14:57:18.6  137.22  33.13   12.0  79 46   72 1.5e+27  7.37 090504D        
 2004/09/06  12:42:59.4  -28.79 -55.43   12.0  95 20   47 1.7e+26  6.74 090604C        
 2004/09/06  23:29:35.1  137.28  33.14   12.0  81 42   82 9.8e+25  6.59 090604M        
 2004/10/08  08:27:53.5  162.27 -10.87   40.0 108 51   23 1.6e+26  6.74 100804B        
 2004/10/09  21:26:53.7  -87.02  11.25   39.0 311 26   98 3.0e+26  6.92 100904E        
 2004/10/15  04:08:50.2  122.74  24.48  102.1 200 17    6 8.7e+25  6.56 101504A        
 2004/10/23  08:56:00.9  138.83  37.31   13.0  23 34   81 8.6e+25  6.55 102304D        
 2004/11/02  10:02:12.8 -129.13  49.17   19.0 312 83 -176 8.6e+25  6.55 110204F        
 2004/11/09  23:58:23.6  163.70 -11.35   12.0 191 48 -145 2.8e+26  6.89 110904F        
 2004/11/11  17:34:52.0  162.17 -11.20   12.0 275 28   41 1.0e+26  6.60 111104I        
 2004/11/11  21:26:41.2  125.12  -7.87   17.0  67 27   72 2.1e+27  7.48 111104M        
 2004/11/15  09:06:56.6  -77.57   4.72   16.0  21 11  114 7.6e+26  7.18 111504C        
 2004/11/17  21:09:13.1 -178.40 -19.87  629.4  77  8  117 7.2e+25  6.50 111704G        
 2004/11/22  20:26:23.9  164.91 -46.36   40.0  43 36  103 5.6e+26  7.09 112204C        
 2004/11/26  02:25:03.3  135.54  -3.55   12.0   5 34    0 5.5e+26  7.09 112604A        
 2004/11/28  02:35:13.4 -114.00 -26.82   12.0 105 71 -178 9.0e+25  6.57 112804B        
 2004/11/28  18:32:14.1  145.36  42.88   47.0 242 26  122 3.7e+26  6.97 112804I        
 2004/12/06  14:15:11.9  145.41  42.82   36.0 246 24  125 1.6e+26  6.73 120604A        
 2004/12/14  23:20:13.4  -81.52  19.05   12.0 258 84   -2 1.8e+26  6.76 121404B        
 2004/12/23  14:59:04.4  161.25 -49.91   27.5  69 74  167 1.6e+28  8.07 122304A        
 2004/12/26  00:58:50.0   94.26   3.09   28.6 329  8  110 4.0e+29  8.99 122604A        
 2004/12/26  04:21:29.8   92.79   6.61   13.6 351 27  121 7.2e+26  7.17 122604B        
 2004/12/26  09:20:01.6   92.45   8.58   12.0 333 38   82 9.8e+25  6.59 122604C        
 2005/01/01  06:25:44.8   92.22   4.97   12.0 111 68 -173 1.2e+26  6.65 200501010625A  
 2005/01/12  08:40:03.7  -20.53  -0.47   12.0 261 85  180 1.9e+26  6.78 200501120840A  
 2005/01/16  20:17:52.8  140.86  10.88   12.0 113 30  -70 9.6e+25  6.58 200501162017A  
 2005/01/19  06:11:36.4  141.95  34.01   15.0 181 22   98 8.1e+25  6.54 200501190611A  
 2005/02/05  03:34:25.7  146.19  15.88  132.0 266 46 -144 9.4e+25  6.58 200502050334A  
 2005/02/05  12:23:18.9  123.67   5.47  530.6 158 14 -114 5.2e+26  7.08 200502051223A  
 2005/02/08  14:48:22.0  167.13 -14.18  197.1 181 43  110 1.3e+26  6.67 200502081448A  
 2005/02/16  20:27:52.5  -16.00 -35.39   13.0 346 85  178 1.0e+26  6.60 200502162027A  
 2005/02/26  12:56:52.6   95.40   2.80   12.0 294  6   66 1.4e+26  6.70 200502261256A  
